,MlsId,MlsName,DateListed,StreetAddress,Price,Bedrooms,Bathrooms,FullBathrooms,HalfBathrooms,ThreeQuarterBathrooms,Appliances,Rooms,Description
157,16968013,CLAW,2016-01-07 00:00:00,828 BALLARD CANYON RD,2879000.00,4,,4,1,,"Range Hood,RangeOven","bedrooms,bathrooms","Meticulously maintained historic 5-acre horse ranch nestled in the wine country of the Santa Ynez Valley combines exquisite craftsmanship with an artful blend of rustic wood, warm stone, and bronze to"
158,16970717,CLAW,2016-01-13 00:00:00,5880 Foxview DR,599000.00,0,,,,,,None,"Amazing white water, ocean view lot in gated community. Very private road. Multi-Million dollar homes on street. Gorgeous coastline Views. Huge up-side for the right buyer. Per Seller - Home may have "
159,16970871,CLAW,2016-01-20 00:00:00,6692 WILDLIFE RD,45000.00,5,,6,,,"Built-In BBQ,Microwave,RangeOven,Cooktop - Gas,Double Oven","bedrooms,bathrooms","New Construction Point Dume Rental with coveted Beach Rights available immediately. This amazing, designer perfect, super private/secure home comes fully furnished and is available immediately. Book m"
161,316000525,ITECH,2016-02-04 00:00:00,845 Highland Drive,4699999.00,6,,3,1,1,"RangeOven,Range Hood","bedrooms,bathrooms","Unbelievable custom home in the hills of La Canada Flintridge! The home sits peacefully on a multi-level 40,000+ square foot lot and is extremely private with beautiful views of the mountains. Enterta"
6,16106762,CLAW,2016-03-16 00:00:00,27086 MALIBU COVE COLONY DR,25000.00,3,,3,1,,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms",Gorgeous oceanfront home with views to Point Dume and direct beach access. This beach house is ideal for entertaining with a kitchen open to a great room and ocean front deck. Possible fourth bedroom 
7,16109128,CLAW,2016-03-25 00:00:00,36 BREEZE AVE,6500.00,2,,1,1,,"Built-Ins,Microwave,Built-In Gas,Cooktop - Gas,Double Oven,Range Hood","bedrooms,bathrooms","his designer, custom architectural remodel on the charming Breeze walk-street is the epitome of luxurious and efficient living. Walls of warm reclaimed wood line the architectural interior, while expa"
8,16114818,CLAW,2016-04-12 00:00:00,31652 BROAD BEACH RD,5800000.00,3,,3,,,"Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms","Welcome to an oasis over looking the Pacific Ocean, where crashing waves and vivid sunsets create the quintessential Beach living environment. The controlled access exterior entry sets the tone for th"
9,16115130,CLAW,2016-04-13 00:00:00,1912 KELTON AVE,5499.00,3,,2,,,,"bedrooms,bathrooms","Beautiful traditional Spanish in the heart of Westwood! Charming original details include high, vaulted ceilings in living room, cozy wood-burning fireplace, arched doorways, shelving alcoves, painted"
10,16115640,CLAW,2016-04-14 00:00:00,11258 Laurie Drive,798000.00,0,,,,,,None,"NEW PROJECT - SHOVEL READY. *NOTE* This project has Ready To Issue (RTI) PERMITS because the Design Review Board has approved this development, for the Mulholland Scenic Parkway Corridor, in addition "
11,16118008,CLAW,2016-04-25 00:00:00,28011 PAQUET PL,6995000.00,5,,4,,,"Built-In BBQ,RangeOven","bedrooms,bathrooms","Beautiful estate with panoramic ocean views located in the gated community of Ramirez Canyon. This 5 bed, 5 bath features an open floor plan with natural light and stunning ocean & mountain views thro"
162,316004149,ITECH,2016-05-05 00:00:00,887 Flintridge Avenue,6495000.00,6,,3,3,1,"Built-In Gas,RangeOven","bedrooms,bathrooms",Absolutely exquisite Spanish Colonial Revival Estate located in the heart of Flintridge. Former Showcase House magnificently situated on almost 2 flat acres of private park-like grounds with multiple 
12,16122648,CLAW,2016-05-06 00:00:00,6237 BONSALL DR,6649000.00,3,,3,1,,,"bedrooms,bathrooms",A prime flat ~1.5 acre lot w/ a unique use of modern finishes & innovative design by Vitus Matare. This private gated single story marvel is adorned w/ mature trees ranging from avocados to evergreens
13,16125100,CLAW,2016-05-16 00:00:00,0 BROAD BEACH RD,150000.00,6,,7,1,,"Built-In BBQ,Built-Ins,Microwave,RangeOven","bedrooms,bathrooms","Unlike any other luxury opportunity, this beautiful Malibu compound offers a flat acre w/ over 120' of beach frontage; a lot depth extending 400'! A gated entrance, simple yet dignified, opens to a 2-"
14,16129206,CLAW,2016-05-26 00:00:00,31341 BIRDELLA RD,5975.00,4,,2,,,,"bedrooms,bathrooms","Nestled in the heart of the Santa Monica Mountains, this serene setting invites you to hike, climb, or horseback ride throughout the day, then relax to the sounds of nature narrating the clear stellar"
15,16130744,CLAW,2016-06-02 00:00:00,32036 PACIFIC COAST HWY,2450000.00,0,,,,,,None,Build your Malibu dream home! Flat lot on almost one-half acre with pristine ocean views on the ocean side of PCH. Gated and private building site including deeded beach rights to one of the most beau
16,16132084,CLAW,2016-06-05 00:00:00,888 Blackmore DR,2888000.00,0,,,,,,None,This approx: 59 ACRE DEVELOPMENT SITE consists of SIX vacant lots. These lots sit on the back and the front side of a hill with a fire road running across the top part of the hill. The largest lot whi
17,16132158,CLAW,2016-06-06 00:00:00,19252 PACIFIC COAST HWY,27500.00,3,,5,,,"Built-In BBQ,Microwave,RangeOven","bedrooms,bathrooms",Rare 98ft Ocean Front Classic Beauty reminiscent of glamorous days from a bygone era. Magnanimous rms paneled & floored w/ rain forest woods ooze casual elegance ala the Titanic. From the street you'l
19,16134056,CLAW,2016-06-11 00:00:00,9229 Crescent Drive,1498000.00,0,,,,,,None,"High up in the Hollywood Hills, are 6 contiguous flat lots with Double Sided views, totaling approx: 17,400 SF. All 6 lots have superb views of both the City of Los Angeles AND Trousdale Estates. APN "
20,16134704,CLAW,2016-06-14 00:00:00,2401 Laurel Canyon Boulevard,1298000.00,0,,,,,,None,"COMPOUND OPPORTUNITY HIDDEN IN PLAIN SIGHT.10 contiguous VACANT LOTS ONLY, (there is NO house) currently on this property totaling approx: 2.5 acres which includes an APPROX: 18,000 SF flat pad. Once "
21,16134756,CLAW,2016-06-14 00:00:00,24808 Woolsey Canyon RD,1298000.00,0,,,,,,None,"RESIDENTIAL DEVELOPMENT SITE: Consisting of 10 vacant lots on approx: 32 acres, with several BIG FLAT PADS and SWEEPING VALLEY VIEWS of San Fernando Valley, Warner Center and the Mountains. Reports ar"
22,16134906,CLAW,2016-06-16 00:00:00,386 ENTRADA DR,1749000.00,2,,2,,,"Range Hood,Microwave,Cooktop - Gas,Oven-Gas","bedrooms,bathrooms","Location, location, location! Charming Mediterranean style home in the highly desirable Santa Monica Canyon. This home is customized throughout with a gourmet cooks kitchen with imported Italian grani"
23,16135516,CLAW,2016-06-16 00:00:00,7350 PACIFIC VIEW DR,2195000.00,3,,3,,,"Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms","Perched above a cul-de-sac in the Hollywood Hills, this Dramatic newly constructed home is of the highest quality. Steel, concrete and glass with a clean modern aesthetic and a bright inviting atmosph"
25,16137056,CLAW,2016-06-22 00:00:00,1422 SAN YSIDRO DR,2035000.00,2,,2,,,"Range Hood,Microwave","bedrooms,bathrooms","Location,location,location. Located on one of BH's premier streets San Ysidro, this home is waiting for its next homeowner to put their magical touch on it. This home has 2 beds and 2 baths with an op"
163,316005809,ITECH,2016-06-22 00:00:00,64 North Arroyo Boulevard,919000.00,4,,2,,1,,"bedrooms,bathrooms","Meticulously maintained light-filled townhouse in the Altos Arroyo complex is looking for its next owner. Main floor features hardwood flooring throughout, living room with vaulted ceilings and firepl"
164,316005875,ITECH,2016-06-22 00:00:00,899 Winston Avenue,2700000.00,4,,3,1,,"Double Oven,Gas","bedrooms,bathrooms","Located on a quiet street in the desirable San Marino neighborhood, is this charming and cheerful traditional. It boasts 3 beds and 3 baths downstairs, and a private bedroom suite upstairs. Inviting c"
26,16137086,CLAW,2016-06-24 00:00:00,6225 GAYTON PL,3195000.00,4,,4,1,,"Built-In BBQ,RangeOven","bedrooms,bathrooms",This beautiful 4 bedroom/4.5 bath is situated on approximately 1 acre with phenomenal mountain views in a tranquil setting and located in a gated community. The home offers a gourmet kitchen with gran
166,316006255,ITECH,2016-07-04 00:00:00,2806 Glendower Avenue,2488000.00,6,,6,1,,,"bedrooms,bathrooms",Incredible opportunity! Absolute Best VALUE above the Blvd with SPECTACULAR VIEWS!! Stunning custom contemporary view home situated on one of the premier streets in Los Feliz. An architectural gem whi
24,16136820,CLAW,2016-07-06 00:00:00,3464 SWEETWATER MESA RD,17500000.00,5,,5,2,,"Built-In BBQ,Built-Ins,RangeOven","bedrooms,bathrooms","NEWLY PRICED TO SELL! Iconic Malibu living abounds in this architectural oasis atop a generous 4.25 acres within the exclusive Serra Retreat. Recently updated by a celebrated designer, the home offers"
27,16141262,CLAW,2016-07-06 00:00:00,1116 LINDA FLORA DR,34999.00,5,,5,1,,"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","Designed by renowned architect Walter Scott Perry in the classic modern Bauhaus tradition, this newly remodeled, 5 bedroom & 6 bathroom contemporary home is sited on a serene, half-acre knoll in Bel A"
28,16142180,CLAW,2016-07-11 00:00:00,2317 Dickenson RD,20000000.00,3,,2,1,,Built-In BBQ,"bedrooms,bathrooms","An hour outside of Los Angles with country and ocean views of Ojai sits Flying D Ranch. The ultimate ranch - surrounded by a seasonal creek and expansive terrain. Consisting of 1,281 acres and 7 parce"
